150
1.05,0.6,0
1.05,0.6,0.6
0.0,1.2,0
1.09,0.6,1.2
1.09,0.6,1.8
0.02,1.2,1.2
1.1,0.6,2.4
1.1,0.6,3.0
0.03,1.2,2.4
1.09,1.2,3.6
0.02,1.2,3.6
1.08,0.6,4.8
1.08,0.6,5.4
0.01,1.2,4.8
1.07,0.6,6.0
1.07,0.6,6.6
0.0,1.2,6.0
1.06,0.6,7.2
0.03,0.6,7.2
1.06,0.6,7.8
0.04,0.6,7.8
0.02,0.6,8.4
1.05,1.2,8.4
0.0,0.6,9.0
1.09,0.6,9.6
1.09,0.6,10.2
0.02,1.2,9.6
1.08,0.6,10.8
1.08,0.6,11.4
0.03,1.2,10.8
1.07,0.6,12.0
1.07,0.6,12.6
0.04,1.2,12.0
1.06,1.2,13.2
0.04,1.2,13.2
1.09,0.6,14.4
1.09,0.6,15.0
0.02,1.2,14.4
1.08,0.6,15.6
1.08,0.6,16.2
0.03,1.2,15.6
1.07,0.6,16.8
0.04,1.2,16.8
1.06,1.2,18.0
0.04,1.2,18.0
1.05,0.6,19.2
1.05,0.6,19.8
0.0,1.2,19.2
1.09,0.6,21.0
0.02,1.2,20.4
1.1,0.6,21.6
0.03,1.2,21.6
1.09,1.2,22.8
0.02,1.2,22.8
1.08,0.6,24.0
1.08,0.6,24.6
0.01,1.2,24.0
1.07,0.6,25.8
0.0,1.2,25.2
0.03,0.6,26.4
1.06,0.6,27.0
0.04,0.6,27.0
1.05,1.2,27.6
0.0,1.2,27.6
