150
10.33,28.75,5.0
10.32,29.375,35.625
10.33,28.75,65.0
10.32,29.375,95.625
10.33,29.375,125.625
9.28,28.75,155.0
9.31,29.375,185.625
9.29,29.375,215.625
1.06,28.75,245.0
7.26,59.375,245.625
1.11,29.375,275.625
2.15,29.375,305.625
4.18,29.375,335.625
5.21,29.375,365.625
7.26,28.75,395.0
0.03,28.75,425.0
9.28,58.75,425.0
1.11,29.375,455.625
2.14,28.75,485.0
5.21,28.75,515.0
7.25,28.75,545.0
9.28,29.375,575.625
1.06,29.375,605.625
9.29,58.75,605.0
1.11,29.375,635.625
2.15,29.375,665.625
5.21,28.75,695.0
10.33,28.75,725.0
10.32,29.375,755.625
10.33,29.375,785.625
10.32,29.375,815.625
10.33,29.375,845.625
9.28,28.75,875.0
9.31,29.375,905.625
9.29,28.75,935.0
1.06,28.75,965.0
7.26,58.75,965.0
1.11,29.375,995.625
2.15,28.75,1025.0
4.18,29.375,1055.625
5.21,29.375,1085.625
7.26,29.375,1115.625
0.03,28.75,1145.0
1.11,29.375,1175.625
9.28,88.75,1145.0
2.14,29.375,1205.625
9.29,29.375,1265.625
4.19,89.375,1235.625
9.28,29.375,1295.625
1.06,28.75,1325.0
7.26,58.75,1325.0
4.18,58.75,1325.0
1.11,28.75,1355.0
2.15,28.75,1385.0
10.33,29.857,1445.625
10.32,31.425,1476.133
10.33,31.929,1508.238
10.32,31.929,1540.846
10.33,31.25,1572.776
9.28,29.377,1605.384
9.31,28.75,1636.011
9.29,29.375,1666.636
1.06,29.375,1696.636
7.26,58.75,1696.011
1.11,29.375,1726.636
2.15,28.75,1756.011
4.18,29.375,1786.636
5.21,28.75,1816.011
7.26,28.75,1846.011
0.03,29.375,1876.636
1.11,28.75,1906.011
9.28,59.375,1876.636
2.14,28.75,1936.011
5.21,29.375,1966.636
7.25,29.375,1996.636
9.28,29.375,2026.636
1.06,28.75,2056.011
9.29,59.375,2056.636
1.11,29.375,2086.636
2.15,28.75,2116.011
5.21,29.375,2146.636
10.33,28.75,2176.011
10.32,28.75,2206.011
10.33,29.375,2236.636
10.32,29.375,2266.636
10.33,28.75,2296.011
9.28,29.375,2326.636
9.31,28.75,2356.011
9.29,29.375,2386.636
1.06,29.375,2416.636
1.11,28.75,2446.011
7.26,59.375,2416.636
2.15,28.75,2476.011
4.18,28.75,2506.011
5.21,28.75,2536.011
7.26,28.75,2566.011
0.03,28.75,2596.011
9.28,59.375,2596.636
1.11,29.375,2626.636
2.14,29.375,2656.636
9.29,28.75,2716.011
9.28,28.75,2746.011
4.19,89.375,2686.636
1.06,29.375,2776.636
7.26,58.75,2776.011
4.18,59.375,2776.636
1.11,29.375,2806.636
2.15,29.375,2836.636
9.28,29.375,2866.636
9.29,28.75,2896.011
9.31,29.375,2926.636
1.09,29.375,2956.636
2.13,28.75,2986.011
